started	session	models	calls	span	active	input	cache_create	cache_read	output
2026-08-05T13:41:01	a9798f59-61a6-4168-883b-75209a1bfd30	claude-opus-5, claude-sonnet-5	106	00:24:48	00:24:48	842	457190	11148436	168053
2026-08-05T14:23:19	62e1d28f-7b53-435d-9297-f18611155b00	claude-opus-5	45	00:15:09	00:09:18	85	228329	3855268	74645
2026-08-05T14:39:36	c26b3aeb-1cb3-4fb7-bf24-20308af3c09a	claude-opus-5	30	00:06:58	00:06:58	12926	210260	2605504	71672
2026-08-05T14:47:00	bc727ef2-2311-44a9-b2d3-1ae20fee2aa9	claude-sonnet-5	59	00:07:17	00:07:17	240	231668	5070606	29015
2026-08-05T14:55:18	3272a8d3-8c4b-4223-9577-b783979649ae	<synthetic>, claude-opus-4-8	105	00:31:01	00:31:01	1663	418495	12450065	194945
2026-08-05T15:28:27	c1d30a94-396a-436c-a824-91ce04a30efe	claude-sonnet-5	69	00:06:45	00:06:45	132	141456	5936047	22959
